"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2760","Test case","chromium","2026-09-13","passed","2026-09-13","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","2906","Modal Dialogs","chromium","2026-09-13","passed","2026-09-13","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","1802","Valid Image - Broken Image Tests","chromium","2026-09-13","failed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1699","Resizeable Free","chromium","2026-09-13","passed","2026-09-13","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","4769","Simple Droppable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1951","Radio Button Test","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","2329","Sortable Grid","chromium","2026-09-13","passed","2026-09-13","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1744","Timer Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","3826","Simple Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2407","Student Registration Form","chromium","2026-09-13","passed","2026-09-13","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","1725","Browser Windows : New Window Message","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","6790","Test case","chromium","2026-09-13","passed","2026-09-13","Test suite","widgets_/progress_bar.spec.js","",""
"","2207","Broken Link","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","7089","Multiple Color","chromium","2026-09-13","failed","2026-09-13","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","2152","All Button Functionalities Combined","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","5711","Links Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","2126","Browser Windows : New Tab","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
