"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1484","Sortable List","chromium","2026-09-13","passed","2026-09-13","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1504","Browser Windows : New Window Message","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","3575","Container Restricted Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1589","Slider","chromium","2026-09-13","passed","2026-09-13","Test suite : Slider","widgets_/slider.spec.js","",""
"","5088","Links Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","17875","Accept Droppable","chromium","2026-09-13","failed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1423","Radio Button Test","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","7461","Dynamic Properties Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","2328","test","chromium","2026-09-13","passed","2026-09-13","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","1485","Timer Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","6571","Prevent Propogation Droppable","chromium","2026-09-13","failed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1401","Resizeable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","6635","Multiple Color","chromium","2026-09-13","failed","2026-09-13","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","1699","Menu","chromium","2026-09-13","passed","2026-09-13","Test suite : Menu","widgets_/menu.spec.js","",""
"","1404","Resizeable Free","chromium","2026-09-13","passed","2026-09-13","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","2061","Test case","chromium","2026-09-13","passed","2026-09-13","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","1488","Valid Image - Broken Image Tests","chromium","2026-09-13","failed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","16494","Expand checkbox tree","chromium","2026-09-13","failed","2026-09-13","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","1624","Browser Windows : New Tab","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1424","Confirm Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","4652","Revert Droppable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1716","Simple Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1522","Nested Frames","chromium","2026-09-13","passed","2026-09-13","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","1397","Text Box Test","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","3476","Axis Restricted Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","3479","Simple Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1654","Frames","chromium","2026-09-13","passed","2026-09-13","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","2434","Modal Dialogs","chromium","2026-09-13","passed","2026-09-13","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","1680","Broken Link","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","6533","Test case","chromium","2026-09-13","passed","2026-09-13","Test suite","widgets_/progress_bar.spec.js","",""
"","1590","Single Color","chromium","2026-09-13","passed","2026-09-13","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","4510","Simple Droppable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1655","Selectable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","6620","Select Menu","chromium","2026-09-13","failed","2026-09-13","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","2849","Web Tables","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","1409","Upload and Download Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","2959","Student Registration Form","chromium","2026-09-13","passed","2026-09-13","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","1632","Browser Windows : New Window","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1458","Tabs","chromium","2026-09-13","passed","2026-09-13","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","6994","Tool Tips","chromium","2026-09-13","failed","2026-09-13","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","1628","Sortable Grid","chromium","2026-09-13","passed","2026-09-13","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1986","Valid Link","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1388","Prompt Box Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","3431","Cursor Style Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1566","All Button Functionalities Combined","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
